S&P 500 INDEX,Last: 5021.8398,Change:  -4.7702,,,,,,,,,,,,,
"Date: February 13, 2024 at 6:40 AM EST",Bid: 4953.0801,Ask: 5064.5601,Size: 1*1,Volume: 0,,,,,,,,,,,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,Open Interest
Mon Feb 12 2024,SPXW240212C01200000,3516.61,0,3818.5,3827.5,0,2,1200,SPXW240212P01200000,0.05,0.025,0,0.05,10,2
Mon Feb 12 2024,SPXW240212C01400000,0,0,3618.5,3627.5,0,0,1400,SPXW240212P01400000,0,0,0,0.05,0,0
Mon Feb 12 2024,SPXW240212C01600000,0,0,3418.5,3427.5,0,0,1600,SPXW240212P01600000,0.05,0.025,0,0.05,1,0
Mon Feb 12 2024,SPXW240212C01800000,0,0,3218.5,3227.5,0,0,1800,SPXW240212P01800000,0.07,0,0,0.05,0,3
Mon Feb 12 2024,SPXW240212C02000000,2994.6,0,3018.5,3027.5,0,8,2000,SPXW240212P02000000,0.05,0,0,0.05,0,4
Mon Feb 12 2024,SPXW240212C02200000,0,0,2818.5,2827.5,0,0,2200,SPXW240212P02200000,0.05,0,0,0.05,0,3
Mon Feb 12 2024,SPXW240212C02400000,0,0,2618.5,2627.5,0,3,2400,SPXW240212P02400000,0.05,0,0,0.05,0,30
Mon Feb 12 2024,SPXW240212C02600000,2425.6,0,2418.5,2427.5,0,3,2600,SPXW240212P02600000,0.05,0,0,0.05,0,5
Mon Feb 12 2024,SPXW240212C02800000,0,0,2218.5,2227.5,0,0,2800,SPXW240212P02800000,0.05,0,0,0.05,0,115
Mon Feb 12 2024,SPXW240212C03000000,0,0,2018.5,2027.5,0,0,3000,SPXW240212P03000000,0.05,0,0,0.05,0,91
Mon Feb 12 2024,SPXW240212C03200000,0,0,1818.5,1827.5,0,0,3200,SPXW240212P03200000,0.1,0,0,0.05,0,416
Mon Feb 12 2024,SPXW240212C03400000,0,0,1618.5,1627.5,0,0,3400,SPXW240212P03400000,0.05,0,0,0.05,0,524
Mon Feb 12 2024,SPXW240212C03600000,0,0,1418.5,1427.5,0,0,3600,SPXW240212P03600000,0.05,0,0,0.05,0,1959
Mon Feb 12 2024,SPXW240212C03700000,0,0,1318.5,1327.5,0,0,3700,SPXW240212P03700000,0.05,0,0,0.05,0,6150
Mon Feb 12 2024,SPXW240212C03800000,0,0,1218.5,1227.5,0,0,3800,SPXW240212P03800000,0.05,0,0,0.05,0,5708
Mon Feb 12 2024,SPXW240212C03850000,0,0,1168.5,1177.5,0,0,3850,SPXW240212P03850000,0.05,0,0,0.05,0,1536
Mon Feb 12 2024,SPXW240212C03900000,0,0,1118.5,1127.5,0,0,3900,SPXW240212P03900000,0.05,0,0,0.05,0,12099
Mon Feb 12 2024,SPXW240212C03950000,0,0,1068.5,1077.5,0,0,3950,SPXW240212P03950000,0.05,0,0,0.05,0,9378
Mon Feb 12 2024,SPXW240212C04000000,1017.3,0,1018.5,1027.5,0,8,4000,SPXW240212P04000000,0.05,0,0,0.05,0,2299
Mon Feb 12 2024,SPXW240212C04050000,0,0,968.5,977.5,0,0,4050,SPXW240212P04050000,0.05,0,0,0.05,0,20307
Mon Feb 12 2024,SPXW240212C04100000,927.85,5.4,918.5,927.5,1,1,4100,SPXW240212P04100000,0.05,0,0,0.05,0,7430
Mon Feb 12 2024,SPXW240212C04150000,0,0,868.5,877.5,0,0,4150,SPXW240212P04150000,0.05,0,0,0.05,0,7698
Mon Feb 12 2024,SPXW240212C04200000,823.29,0.79,818.5,827.5,3,3,4200,SPXW240212P04200000,0.05,0.025,0,0.05,4,2490
Mon Feb 12 2024,SPXW240212C04225000,799,1.5,793.5,802.5,1,1,4225,SPXW240212P04225000,0.05,0,0,0.05,0,1126
Mon Feb 12 2024,SPXW240212C04250000,774.82,2.32,768.5,777.5,2,2,4250,SPXW240212P04250000,0.05,0,0,0.05,0,6197
Mon Feb 12 2024,SPXW240212C04275000,748.3,0.75,743.5,752.5,1,2,4275,SPXW240212P04275000,0.07,0,0,0.05,0,3022
Mon Feb 12 2024,SPXW240212C04300000,744.22,21.67,718.5,727.5,6,6,4300,SPXW240212P04300000,0.05,0,0,0.05,0,4059
Mon Feb 12 2024,SPXW240212C04325000,698.17,0.62,693.5,702.5,2,2,4325,SPXW240212P04325000,0.05,0,0,0.05,0,3425
Mon Feb 12 2024,SPXW240212C04350000,644.98,0,668.5,677.5,0,1,4350,SPXW240212P04350000,0.07,0,0,0.05,0,3504
Mon Feb 12 2024,SPXW240212C04375000,0,0,643.5,652.5,0,0,4375,SPXW240212P04375000,0.05,0,0,0.05,0,2144
Mon Feb 12 2024,SPXW240212C04400000,343.35,0,618.5,627.5,0,0,4400,SPXW240212P04400000,0.05,-0.025,0,0.05,1,2949
Mon Feb 12 2024,SPXW240212C04425000,609.69,12.14,593.5,602.5,1,1,4425,SPXW240212P04425000,0.1,0,0,0.05,0,1744
Mon Feb 12 2024,SPXW240212C04450000,596.42,23.82,568.5,577.5,34,39,4450,SPXW240212P04450000,0.1,0,0,0.05,0,1979
Mon Feb 12 2024,SPXW240212C04475000,549.18,1.58,543.5,552.5,12,33,4475,SPXW240212P04475000,0.1,0,0,0.05,0,2568
Mon Feb 12 2024,SPXW240212C04500000,544.45,21.85,518.5,527.5,4,30,4500,SPXW240212P04500000,0.1,0,0,0.05,0,3179
Mon Feb 12 2024,SPXW240212C04510000,513.72,1.12,508.5,517.5,4,8,4510,SPXW240212P04510000,0.05,0,0,0.05,0,498
Mon Feb 12 2024,SPXW240212C04520000,506.2,3.6,498.5,507.5,1,31,4520,SPXW240212P04520000,0.05,0,0,0.05,0,223
Mon Feb 12 2024,SPXW240212C04525000,498.83,1.23,493.5,502.5,4,25,4525,SPXW240212P04525000,0.05,-0.025,0,0.05,282,1065
Mon Feb 12 2024,SPXW240212C04530000,493.86,1.21,488.5,497.5,5,5,4530,SPXW240212P04530000,0.1,0,0,0.05,0,568
Mon Feb 12 2024,SPXW240212C04540000,0,0,478.5,487.5,0,0,4540,SPXW240212P04540000,0.1,0,0,0.05,0,202
Mon Feb 12 2024,SPXW240212C04550000,491.19,18.54,468.5,477.5,36,60,4550,SPXW240212P04550000,0.05,-0.025,0,0.05,372,1149
Mon Feb 12 2024,SPXW240212C04560000,463.8,1.35,458.5,467.5,7,7,4560,SPXW240212P04560000,0.1,0,0,0.05,0,781
Mon Feb 12 2024,SPXW240212C04570000,225.67,0,448.5,457.5,0,20,4570,SPXW240212P04570000,0.1,0,0,0.05,0,552
Mon Feb 12 2024,SPXW240212C04575000,452.88,5.23,443.5,452.5,5,64,4575,SPXW240212P04575000,0.12,0,0,0.05,0,151
Mon Feb 12 2024,SPXW240212C04580000,442.48,-0.17,438.5,447.5,1,6,4580,SPXW240212P04580000,0.15,0,0,0.05,0,1082
Mon Feb 12 2024,SPXW240212C04590000,436.18,3.53,428.5,437.5,1,4,4590,SPXW240212P04590000,0.1,0,0,0.05,0,802
Mon Feb 12 2024,SPXW240212C04600000,423.08,0.43,418.5,427.5,1,83,4600,SPXW240212P04600000,0.05,-0.025,0,0.05,3,1932
Mon Feb 12 2024,SPXW240212C04605000,421.21,3.56,413.5,422.5,1,1,4605,SPXW240212P04605000,0.05,-0.05,0,0.05,1,533
Mon Feb 12 2024,SPXW240212C04610000,416.09,3.44,408.5,417.5,12,124,4610,SPXW240212P04610000,0.2,0,0,0.05,0,1059
Mon Feb 12 2024,SPXW240212C04615000,411.02,3.37,403.5,412.5,10,10,4615,SPXW240212P04615000,0.1,0,0,0.05,0,153
Mon Feb 12 2024,SPXW240212C04620000,406.6,3.95,398.5,407.5,10,97,4620,SPXW240212P04620000,0.1,0,0,0.05,0,414
Mon Feb 12 2024,SPXW240212C04625000,420.35,22.7,393.5,402.5,30,54,4625,SPXW240212P04625000,0.07,0,0,0.05,0,635
Mon Feb 12 2024,SPXW240212C04630000,379.78,0,388.5,397.5,0,30,4630,SPXW240212P04630000,0.1,0,0,0.05,0,1255
Mon Feb 12 2024,SPXW240212C04635000,317.28,0,383.5,392.5,0,8,4635,SPXW240212P04635000,0.15,0,0,0.05,0,530
Mon Feb 12 2024,SPXW240212C04640000,311.72,0,378.5,387.5,0,1,4640,SPXW240212P04640000,0.1,0,0,0.05,0,1059
Mon Feb 12 2024,SPXW240212C04645000,0,0,373.5,382.5,0,0,4645,SPXW240212P04645000,0.2,0,0,0.05,0,102
Mon Feb 12 2024,SPXW240212C04650000,372.88,0.23,368.5,377.5,16,53,4650,SPXW240212P04650000,0.15,0,0,0.05,0,3130
Mon Feb 12 2024,SPXW240212C04655000,371.43,3.78,363.5,372.5,1,2,4655,SPXW240212P04655000,0.07,0,0,0.05,0,120
Mon Feb 12 2024,SPXW240212C04660000,387.62,24.97,358.5,367.5,32,276,4660,SPXW240212P04660000,0.05,-0.05,0,0.05,60,222
Mon Feb 12 2024,SPXW240212C04665000,369.2,11.55,353.5,362.5,1,5,4665,SPXW240212P04665000,0.15,0,0,0.05,0,251
Mon Feb 12 2024,SPXW240212C04670000,378.17,25.52,348.5,357.5,13,65,4670,SPXW240212P04670000,0.1,0,0,0.05,0,151
Mon Feb 12 2024,SPXW240212C04675000,351.14,3.49,343.5,352.5,21,48,4675,SPXW240212P04675000,0.1,0,0,0.05,0,947
Mon Feb 12 2024,SPXW240212C04680000,347.57,4.92,338.5,347.5,10,98,4680,SPXW240212P04680000,0.15,0,0,0.05,0,107
Mon Feb 12 2024,SPXW240212C04685000,342.5,4.85,333.5,342.5,1,10,4685,SPXW240212P04685000,0.15,0,0,0.05,0,744
Mon Feb 12 2024,SPXW240212C04690000,336.69,4.04,328.5,337.5,11,96,4690,SPXW240212P04690000,0.1,0,0,0.05,0,831
Mon Feb 12 2024,SPXW240212C04695000,353.4,25.75,323.5,332.5,2,2,4695,SPXW240212P04695000,0.05,-0.075,0,0.05,1,119
Mon Feb 12 2024,SPXW240212C04700000,324.38,1.73,318.5,327.5,16,115,4700,SPXW240212P04700000,0.05,-0.075,0,0.05,13,2057
Mon Feb 12 2024,SPXW240212C04705000,342.57,24.92,313.5,322.5,2,14,4705,SPXW240212P04705000,0.15,0,0,0.05,0,401
Mon Feb 12 2024,SPXW240212C04710000,331.83,19.18,308.5,317.5,2,74,4710,SPXW240212P04710000,0.05,-0.075,0,0.05,3,323
Mon Feb 12 2024,SPXW240212C04715000,313.1,5.45,303.5,312.5,1,12,4715,SPXW240212P04715000,0.15,0,0,0.05,0,1317
